index;lambda;mu;time;nb_clients;client_no_wait;nb_moyen_clients;temps_sejour;time_exec
0;2;2;1000000;1999921;0.0011155440639905277;621.681425068676;310.8529912274906;5.43
0;2;4;1000000;2000731;0.5000052480818261;1.0002615093846967;0.49994802368969077;0.72
0;2;6;1000000;1997079;0.6675855086353619;0.4983899586719506;0.2495594609286616;0.57
0;2;8;1000000;1999851;0.7497748582269379;0.3335187104961045;0.1667717797456433;0.58
0;4;4;1000000;4001270;1.324579446025887E-4;1906.870346170632;476.56627674978006;43.80
0;4;6;1000000;3999876;0.33264781208217453;2.0049376290577845;0.5012499460127693;1.12
0;4;8;1000000;4001484;0.5000882172713923;1.0005806186083142;0.2500523852171644;1.07
0;6;6;1000000;5995770;9.781896236846976E-4;1059.592718997076;176.72337647994877;32.48
0;6;8;1000000;6001762;0.2498997794314403;3.001686688213995;0.5001342419465835;1.54
0;8;8;1000000;8004225;1.0894246476079821E-4;4679.896078252235;584.6782265931482;231.89
0;5;6;1;9;0.3333333333333333;4.378102356237511;0.48645581735972343;0.05
0;5;6;10;49;0.32653061224489793;1.6022921115083668;0.32699839010374837;0.05
0;5;6;100;518;0.12934362934362933;5.135406924375394;0.9913912981419699;0.07
0;5;6;1000;4939;0.16359586960923264;4.4454168398631495;0.9000641506100711;0.07
0;5;6;10000;50103;0.15236612578089137;5.54361084832183;1.1064428972959124;0.18
0;5;6;100000;499860;0.16883527387668548;4.946214011435778;0.9895198678501907;0.33
0;5;6;1000000;4999052;0.16696405638509063;4.96229613321267;0.9926474325955518;1.26
0;5;6;10000000;50007762;0.1667668111202417;5.00277230816214;1.0003991596667103;10.47
1;2;2;1000000;1997732;9.665961200000801E-4;810.8373842306858;405.8789588546748;6.95
1;2;4;1000000;1999758;0.49974246883872947;0.999609574116511;0.4998652707560169;0.73
1;2;6;1000000;1997943;0.6667382402801281;0.499579594527427;0.2500469705729478;0.56
1;2;8;1000000;1999984;0.7502720021760174;0.3325553447711666;0.16627900261760425;0.57
1;4;4;1000000;4000290;4.234692984758605E-4;753.1494253542261;188.27370649483035;13.37
1;4;6;1000000;3997861;0.33416369403538543;1.9962089572401056;0.49931925027907265;1.01
1;4;8;1000000;4003586;0.49994230172650217;1.0014134963614878;0.25012913332234854;1.13
1;6;6;1000000;5998739;1.6986903414200884E-4;864.6631035014364;144.1408108439965;21.66
1;6;8;1000000;5996255;0.25082922590850454;2.989078399507475;0.49849087463886504;1.50
1;8;8;1000000;8001919;3.302957703020988E-4;1550.5051933905784;193.7666693939684;67.05
1;5;6;1;4;0.75;1.2528020399425186;0.31320050998562965;0.04
1;5;6;10;63;0.047619047619047616;12.503590221369397;1.9846968605348243;0.07
1;5;6;100;528;0.17803030303030304;4.273927727931407;0.8094560090779186;0.07
1;5;6;1000;5046;0.12980578676179153;6.673659595099087;1.3225643272094894;0.07
1;5;6;10000;49778;0.1710996825907027;5.110153121343079;1.0265886779989377;0.17
1;5;6;100000;498784;0.16915739077436326;4.897146206732418;0.981817020339963;0.29
1;5;6;1000000;5000457;0.16707072973530218;4.972313315886606;0.9943717775969089;1.24
1;5;6;10000000;49997156;0.16674234430454404;4.999249954642272;0.9999068656307212;10.52
2;2;2;1000000;1996735;0.0011764205064768234;742.4662972730023;371.8401777266438;6.70
2;2;4;1000000;1998656;0.49928602020557816;1.0024631275966707;0.5015686179095732;0.77
2;2;6;1000000;1997943;0.6669884976698535;0.49843395108731675;0.2494735590991919;0.60
2;2;8;1000000;1997813;0.7498709839209176;0.33311990212837966;0.16674228375147207;0.62
2;4;4;1000000;4001569;3.1837511736021543E-4;1458.2198587588966;364.4120240732615;30.54
2;4;6;1000000;4000826;0.3329622432967592;2.001860712969826;0.5003618535196863;0.95
2;4;8;1000000;3999512;0.5003477924306765;0.9988237742201808;0.24973641139723565;1.05
2;6;6;1000000;5997196;5.71266972098294E-4;790.3526785896512;131.78703490592667;19.44
2;6;8;1000000;6001231;0.2503719653517753;2.9866029845589073;0.4976650598117145;1.56
2;8;8;1000000;8000400;2.814859257037148E-4;3054.0813156673166;381.74107740455685;145.59
2;5;6;1;7;0.5714285714285714;0.952282764427556;0.13604039491822228;0.05
2;5;6;10;55;0.01818181818181818;10.637777100184575;1.93414129094265;0.07
2;5;6;100;498;0.26305220883534136;2.7347613600967753;0.5491488674893124;0.06
2;5;6;1000;5024;0.16918789808917198;5.706258179427673;1.1357997968606024;0.08
2;5;6;10000;50119;0.16498733015423292;5.372114298137981;1.0718718047323308;0.18
2;5;6;100000;499606;0.16853280384943337;4.895408313616225;0.9798537875077437;0.29
2;5;6;1000000;4998079;0.16710700251036448;5.0108540133713415;1.002555984683699;1.29
2;5;6;10000000;50008515;0.16661226593111192;5.0034771093521;1.0005250324572441;10.56
