time;nb_octet;file;size;rtt
0.0;906760;data_0.tr;0;1
1.0;443880;data_0.tr;0;1
2.0;967640;data_0.tr;0;1
3.0;604960;data_0.tr;0;1
4.0;604360;data_0.tr;0;1
5.0;514120;data_0.tr;0;1
6.0;604800;data_0.tr;0;1
7.0;494240;data_0.tr;0;1
8.0;604640;data_0.tr;0;1
9.0;413520;data_0.tr;0;1
10.0;795800;data_0.tr;0;1
11.0;604880;data_0.tr;0;1
12.0;484000;data_0.tr;0;1
13.0;604800;data_0.tr;0;1
14.0;544560;data_0.tr;0;1
15.0;584360;data_0.tr;0;1
16.0;604840;data_0.tr;0;1
17.0;604480;data_0.tr;0;1
18.0;554440;data_0.tr;0;1
19.0;453920;data_0.tr;0;1
20.0;604360;data_0.tr;0;1
21.0;604960;data_0.tr;0;1
22.0;494120;data_0.tr;0;1
23.0;564640;data_0.tr;0;1
24.0;554080;data_0.tr;0;1
25.0;484040;data_0.tr;0;1
26.0;524280;data_0.tr;0;1
27.0;625080;data_0.tr;0;1
28.0;584200;data_0.tr;0;1
29.0;484040;data_0.tr;0;1
30.0;524200;data_0.tr;0;1
31.0;604720;data_0.tr;0;1
32.0;604920;data_0.tr;0;1
33.0;604280;data_0.tr;0;1
34.0;454160;data_0.tr;0;1
35.0;936920;data_0.tr;0;1
36.0;625440;data_0.tr;0;1
37.0;604760;data_0.tr;0;1
38.0;604760;data_0.tr;0;1
39.0;554120;data_0.tr;0;1
40.0;464240;data_0.tr;0;1
41.0;594480;data_0.tr;0;1
42.0;604560;data_0.tr;0;1
43.0;403720;data_0.tr;0;1
44.0;604360;data_0.tr;0;1
45.0;403560;data_0.tr;0;1
46.0;967120;data_0.tr;0;1
47.0;645760;data_0.tr;0;1
48.0;644960;data_0.tr;0;1
49.0;564280;data_0.tr;0;1
50.0;604640;data_0.tr;0;1
51.0;604600;data_0.tr;0;1
52.0;544480;data_0.tr;0;1
53.0;624880;data_0.tr;0;1
54.0;444120;data_0.tr;0;1
55.0;604520;data_0.tr;0;1
56.0;604440;data_0.tr;0;1
57.0;423960;data_0.tr;0;1
58.0;634920;data_0.tr;0;1
59.0;554240;data_0.tr;0;1
60.0;604480;data_0.tr;0;1
61.0;403680;data_0.tr;0;1
62.0;806600;data_0.tr;0;1
63.0;806200;data_0.tr;0;1
